Title,Artist,Energy,Danceability,Loudness (dB),Popularity
She Will Be Loved,Maroon 5,71,71,-6,74
Dirty Diana,Michael Jackson,80,75,-5,55
Fireflies,Owl City,66,51,-7,79
Will You Be There - Single Version,Michael Jackson,63,41,-7,53
Black or White - Single Version,Michael Jackson,89,74,-4,64
The A Team,Ed Sheeran,29,64,-10,76
Give Me Love,Ed Sheeran,33,53,-10,73
I Won' T Let You Down,Road Band,35,64,-14,33
Lego House,Ed Sheeran,64,59,-8,71
I See Fire,Ed Sheeran,5,63,-21,64
Thinking out Loud,Ed Sheeran,45,78,-6,84
Photograph,Ed Sheeran,38,61,-10,84
Wit Licht,Jeroen van Koningsbrugge,69,59,-7,43
Stay With Me,Sam Smith,42,42,-6,84
Love Never Felt So Good,Michael Jackson,72,78,-6,70
Pokémon Theme-New Studio Recording,Jason Paige,91,57,-5,41
Perfect,Ed Sheeran,45,60,-6,87
Thriller,Michael Jackson,89,76,-4,69
Shape of You,Ed Sheeran,65,83,-3,87
Castle on the Hill,Ed Sheeran,83,46,-5,79
Happier,Ed Sheeran,39,52,-7,83
Galway Girl,Ed Sheeran,88,62,-3,80
Supermarket Flowers,Ed Sheeran,24,59,-11,78
Someone You Loved,Lewis Capaldi,41,50,-6,85
Memories,Maroon 5,32,76,-7,98
Ben - Single Version,Michael Jackson,16,44,-11,53
Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,82,88,-10,74
Off the Wall,Michael Jackson,60,83,-14,62
Rock with You - Single Version,Michael Jackson,54,81,-13,73
We Belong to the Night,Ellen Foley,75,36,-9,40
Billie Jean,Michael Jackson,65,92,-3,81
Human Nature,Michael Jackson,51,62,-10,65
P.Y.T. (Pretty Young Thing),Michael Jackson,82,89,-5,71
Wanna Be Startin' Somethin',Michael Jackson,92,85,-4,64
Smooth Criminal - 2012 Remaster,Michael Jackson,98,85,-4,76
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,85,88,-5,72
Bad - 2012 Remaster,Michael Jackson,89,79,-4,68
Liberian Girl - 2012 Remastered Version,Michael Jackson,55,75,-7,59
You,Ten Sharp,90,41,-8,61
Heal the World,Michael Jackson,49,53,-8,68
Earth Song,Michael Jackson,44,50,-8,63
Man in the Mirror,Michael Jackson,80,79,-6,64
Beat It,Michael Jackson,80,76,-6,60
They Don't Care About Us,Michael Jackson,91,86,-6,69
Stranger in Moscow,Michael Jackson,47,80,-9,58
Toen Ik Je Zag - Single Version,Hero,20,37,-14,47
MacArthur Park,Richard Harris,34,25,-16,36
